title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Psycho,Horror- Mystery- Thriller,AlfredHitchcock,.,AnthonyPerkins,JanetLeigh,VeraMiles,JohnGavin,32000000,8.5,546934,1960
The Apartment,Comedy- Drama- Romance,BillyWilder,.,JackLemmon,ShirleyMacLaine,FredMacMurray,RayWalston,18600000,8.3,146795,1960
Spartacus,Adventure- Biography- Drama,StanleyKubrick,.,KirkDouglas,LaurenceOlivier,JeanSimmons,CharlesLaughton,30000000,7.9,114530,1960
The Magnificent Seven,Action- Adventure- Western,JohnSturges,.,YulBrynner,SteveMcQueen,CharlesBronson,EliWallach,4905000,7.7,81719,1960
Breathless,Crime- Drama,Jean-LucGodard,.,Jean-PaulBelmondo,JeanSeberg,DanielBoulanger,Henri-JacquesHuet,336705,7.9,65493,1960
La Dolce Vita,Comedy- Drama,FedericoFellini,.,MarcelloMastroianni,AnitaEkberg,AnoukAimée,YvonneFurneaux,19516000,8,59710,1960
The Time Machine,Adventure- Romance- Sci-Fi,GeorgePal,.,RodTaylor,AlanYoung,YvetteMimieux,SebastianCabot,.,7.6,33401,1960
Peeping Tom,Drama- Horror- Thriller,MichaelPowell,.,KarlheinzBöhm,AnnaMassey,MoiraShearer,MaxineAudley,83957,7.7,27378,1960
Inherit the Wind,Biography- Drama- History,StanleyKramer,.,SpencerTracy,FredricMarch,GeneKelly,DickYork,.,8.1,24901,1960
The Virgin Spring,Drama,IngmarBergman,.,MaxvonSydow,BirgittaValberg,GunnelLindblom,BirgittaPettersson,1526000,8.1,24024,1960
L'Avventura,Drama- Mystery,MichelangeloAntonioni,.,GabrieleFerzetti,MonicaVitti,LeaMassari,DominiqueBlanchar,.,7.9,23321,1960
Les yeux sans visage,Drama- Horror,GeorgesFranju,.,PierreBrasseur,AlidaValli,JulietteMayniel,AlexandreRignault,52709,7.7,23202,1960
Ocean's 11,Comedy- Crime- Music,LewisMilestone,.,FrankSinatra,DeanMartin,SammyDavisJr.,PeterLawford,12317000,6.6,18443,1960
Shoot the Piano Player,Crime- Drama- Thriller,FrançoisTruffaut,.,CharlesAznavour,MarieDubois,NicoleBerger,MichèleMercier,.,7.5,15670,1960
The Little Shop of Horrors,Comedy- Horror,RogerCorman,CharlesB.Griffith,JonathanHaze,JackieJoseph,MelWelles,DickMiller,1400000,6.3,14783,1960
Rocco and His Brothers,Crime- Drama- Sport,LuchinoVisconti,.,AlainDelon,RenatoSalvatori,AnnieGirardot,ClaudiaCardinale,.,8.3,14595,1960
Village of the Damned,Horror- Sci-Fi,WolfRilla,.,GeorgeSanders,BarbaraShelley,MichaelGwynn,LaurenceNaismith,.,7.3,13579,1960
The Alamo,Adventure- Drama- History,JohnWayne,.,JohnWayne,RichardWidmark,LaurenceHarvey,FrankieAvalon,17262932,6.9,13315,1960
Le Trou,Crime- Drama- Thriller,JacquesBecker,.,AndréBervil,JeanKeraudy,MichelConstantin,PhilippeLeroy,33187,8.5,13049,1960
Swiss Family Robinson,Adventure- Family,KenAnnakin,.,JohnMills,DorothyMcGuire,JamesMacArthur,JanetMunro,40356000,7.2,12417,1960
Black Sunday,Horror,MarioBava,.,BarbaraSteele,JohnRichardson,AndreaChecchi,IvoGarrani,.,7.2,12182,1960
Purple Noon,Crime- Drama- Thriller,RenéClément,.,AlainDelon,MauriceRonet,MarieLaforêt,ErnoCrisa,618090,7.8,12109,1960
House of Usher,Drama- Horror,RogerCorman,.,VincentPrice,MarkDamon,MyrnaFahey,HarryEllerbe,.,7,10707,1960
The Bad Sleep Well,Crime- Drama- Thriller,AkiraKurosawa,.,ToshirôMifune,MasayukiMori,KyôkoKagawa,TatsuyaMihashi,.,8.1,9674,1960
Elmer Gantry,Drama,RichardBrooks,.,BurtLancaster,JeanSimmons,ArthurKennedy,DeanJagger,11336000,7.8,9375,1960
Exodus,Action- Drama- History,OttoPreminger,.,PaulNewman,EvaMarieSaint,RalphRichardson,PeterLawford,18966000,6.7,8242,1960
Two Women,Drama- War,VittorioDeSica,.,SophiaLoren,Jean-PaulBelmondo,RafVallone,EleonoraBrown,.,7.8,8225,1960
Pollyanna,Comedy- Drama- Family,DavidSwift,.,JaneWyman,HayleyMills,RichardEgan,KarlMalden,.,7.3,8176,1960
Saturday Night and Sunday Morning,Drama- Romance,KarelReisz,.,AlbertFinney,ShirleyAnneField,RachelRoberts,HyldaBaker,.,7.6,6940,1960
The Unforgiven,Drama- Romance- Western,JohnHuston,.,BurtLancaster,AudreyHepburn,AudieMurphy,JohnSaxon,.,6.7,6645,1960
North to Alaska,Comedy- Romance- Western,HenryHathaway,.,JohnWayne,StewartGranger,ErnieKovacs,Fabian,.,7,6441,1960
Sink the Bismarck!,Action- Drama- History,LewisGilbert,.,KennethMore,DanaWynter,CarlMöhner,LaurenceNaismith,6540000,7.1,6371,1960
Mughal-E-Azam,Drama- Romance- War,K.Asif,.,PrithvirajKapoor,Madhubala,DilipKumar,DurgaKhote,161434,8.3,6337,1960
Let's Make Love,Comedy- Musical- Romance,GeorgeCukor,.,MarilynMonroe,YvesMontand,TonyRandall,FrankieVaughan,6540000,6.5,6129,1960
The Brides of Dracula,Horror,TerenceFisher,.,PeterCushing,MartitaHunt,YvonneMonlaur,FredaJackson,.,6.7,6013,1960
The City of the Dead,Horror- Mystery- Thriller,JohnLlewellynMoxey,.,PatriciaJessel,DennisLotis,ChristopherLee,TomNaylor,.,6.8,5276,1960
BUtterfield 8,Drama,DanielMann,.,ElizabethTaylor,LaurenceHarvey,EddieFisher,DinaMerrill,16462599,6.4,5225,1960
The Fugitive Kind,Drama- Romance,SidneyLumet,.,MarlonBrando,JoanneWoodward,AnnaMagnani,MaureenStapleton,.,7.2,4916,1960
Zazie dans le Métro,Comedy- Fantasy,LouisMalle,.,CatherineDemongeot,PhilippeNoiret,HubertDeschamps,CarlaMarlier,.,7,4833,1960
Never on Sunday,Comedy- Drama- Romance,JulesDassin,.,MelinaMercouri,JulesDassin,GiorgosFoundas,TitosVandis,.,7.3,4741,1960
13 Ghosts,Horror,WilliamCastle,.,CharlesHerbert,JoMorrow,MartinMilner,RosemaryDeCamp,.,6.1,4698,1960
The Naked Island,Drama,KanetoShindô,.,NobukoOtowa,TaijiTonoyama,ShinjiTanaka,MasanoriHorimoto,.,8.2,4389,1960
Wild River,Drama- History- Romance,EliaKazan,.,MontgomeryClift,LeeRemick,JoVanFleet,AlbertSalmi,.,7.6,4315,1960
Midnight Lace,Drama- Mystery- Thriller,DavidMiller,.,DorisDay,RexHarrison,JohnGavin,MyrnaLoy,7400000,6.8,4154,1960
The Grass Is Greener,Comedy- Drama- Romance,StanleyDonen,.,CaryGrant,DeborahKerr,RobertMitchum,JeanSimmons,6000000,6.5,4133,1960
Late Autumn,Comedy- Drama,YasujirôOzu,.,SetsukoHara,YôkoTsukasa,MarikoOkada,KeijiSada,.,8.1,3857,1960
Please Don't Eat the Daisies,Comedy- Family- Romance,CharlesWalters,.,DorisDay,DavidNiven,JanisPaige,SpringByington,11100000,6.5,3737,1960
Sergeant Rutledge,Crime- Western,JohnFord,.,JeffreyHunter,WoodyStrode,ConstanceTowers,BillieBurke,.,7.4,3563,1960
